Spending,Type of Expense,Month,Year,in HUF,in CAD,in EURO,Country
" 9,120.00 Ft ",Restaurant,February,2024,,,,Hungary
" 12,701.00 Ft ",Restaurant,February,2024,,,,Hungary
" 1,530.00 Ft ",Restaurant,February,2024,,,,Hungary
" 2,680.00 Ft ",Restaurant,February,2024,,,,Hungary
" 5,036.00 Ft ",Bar,February,2024,,,,Hungary
" 9,990.00 Ft ",Restaurant,February,2024,,,,Hungary
" 2,000.00 Ft ",Telephone,February,2024,,,,Hungary
" 2,158.00 Ft ",Grocery,February,2024,,,,Hungary
" 1,449.00 Ft ",Grocery,February,2024,,,,Hungary
" 2,697.00 Ft ",Grocery,February,2024,,,,Hungary
" 3,450.00 Ft ",Grocery,February,2024,,,,Hungary
" 4,347.00 Ft ",Restaurant,February,2024,,,,Hungary
 490.00 Ft ,Grocery,February,2024,,,,Hungary
" 15,108.00 Ft ",Restaurant,February,2024,,,,Hungary
€ 7.80,Restaurant,February,2024,,,,Slovakia
€ 1.09,Grocery,February,2024,,,,Slovakia
€ 6.00,Restaurant,February,2024,,,,Slovakia
€ 6.00,Restaurant,February,2024,,,,Slovakia
€ 12.30,Restaurant,February,2024,,,,Slovakia
€ 5.90,Bar,February,2024,,,,Slovakia
" 2,300.00 Ft ",Grocery,February,2024,,,,Hungary
 550.00 Ft ,Grocery,February,2024,,,,Hungary
" 5,229.00 Ft ",Grocery,February,2024,,,,Hungary
" 1,438.00 Ft ",Grocery,February,2024,,,,Hungary
" 2,974.00 Ft ",Grocery,February,2024,,,,Hungary
" 3,035.00 Ft ",Grocery,February,2024,,,,Hungary
" 4,600.00 Ft ",Grocery,February,2024,,,,Hungary
€ 12.35,Grocery,February,2024,,,,Spain
€ 8.00,Transport,February,2024,,,,Spain
€ 34.20,Transport,February,2024,,,,Spain
€ 5.50,Grocery,February,2024,,,,Spain
€ 25.80,Transport,February,2024,,,,Spain
" 2,000.00 Ft ",Telephone,February,2024,,,,Hungary
€ 8.90,Transport,February,2024,,,,Spain
€ 28.00,Transport,February,2024,,,,Spain
" 6,180.00 Ft ",Restaurant,February,2024,,,,Hungary
" 5,600.00 Ft ",Grocery,February,2024,,,,Hungary
" 25,989.00 Ft ",Grocery,February,2024,,,,Hungary
" 1,498.00 Ft ",Grocery,February,2024,,,,Hungary
 800.00 Ft ,Grocery,February,2024,,,,Hungary
" 3,000.00 Ft ",Grocery,February,2024,,,,Hungary
 120.00 Ft ,Transport,February,2024,,,,Hungary
 450.00 Ft ,Transport,February,2024,,,,Hungary
" 1,560.00 Ft ",Transport,February,2024,,,,Hungary
" 17,854.00 Ft ",Restaurant,February,2024,,,,Hungary
" 2,399.00 Ft ",Grocery,February,2024,,,,Hungary
" 6,919.00 Ft ",Grocery,February,2024,,,,Hungary
€ 12.80,Transport,March,2024,,,,Austria
€ 30.80,Restaurant,March,2024,,,,Austria
€ 54.00,Activity & Museums,March,2024,,,,Austria
€ 4.50,Activity & Museums,March,2024,,,,Austria
" 17,343.00 Ft ",Activity & Museums,March,2024,,,,Austria
€ 60.00,Restaurant,March,2024,,,,Austria
€ 3.99,Grocery,March,2024,,,,Austria
" 53,095.00 Ft ",Activity & Museums,March,2024,,,,Hungary
€ 17.30,Transport,March,2024,,,,Austria
" 7,436.00 Ft ",Restaurant,March,2024,,,,Hungary
" 4,400.00 Ft ",Transport,March,2024,,,,Hungary
" 2,080.00 Ft ",Grocery,March,2024,,,,Hungary
" 2,416.00 Ft ",Grocery,March,2024,,,,Hungary
" 13,588.00 Ft ",Grocery,March,2024,,,,Hungary
" 2,920.00 Ft ",Transport,March,2024,,,,Hungary
" 1,000.00 Ft ",Transport,March,2024,,,,Hungary
" 4,948.00 Ft ",Grocery,March,2024,,,,Hungary
" 3,490.00 Ft ",Restaurant,March,2024,,,,Hungary
" 1,200.00 Ft ",Restaurant,March,2024,,,,Hungary
 945.00 Ft ,Transport,March,2024,,,,Hungary
" 10,567.00 Ft ",Grocery,March,2024,,,,Hungary
 349.00 Ft ,Grocery,March,2024,,,,Hungary
" 2,437.00 Ft ",Grocery,March,2024,,,,Hungary
" 10,000.00 Ft ",Activity & Museums,March,2024,,,,Hungary
" 5,900.00 Ft ",Activity & Museums,March,2024,,,,Hungary
" 2,699.00 Ft ",Activity & Museums,March,2024,,,,Hungary
" 2,200.00 Ft ",Transport,March,2024,,,,Hungary
" 3,000.00 Ft ",Telephone,March,2024,,,,Hungary
€ 49.80,Grocery,March,2024,,,,Austria
€ 19.10,Grocery,March,2024,,,,Austria
€ 15.00,Transport,March,2024,,,,Austria
€ 12.10,Transport,March,2024,,,,Austria
" 2,347.00 Ft ",Grocery,March,2024,,,,Hungary
" 2,639.00 Ft ",Bar,March,2024,,,,Hungary
" 4,148.00 Ft ",Grocery,March,2024,,,,Hungary
" 3,790.00 Ft ",Restaurant,March,2024,,,,Hungary
 800.00 Ft ,Bar,March,2024,,,,Hungary
" 2,010.00 Ft ",Bar,March,2024,,,,Hungary
" 1,677.00 Ft ",Grocery,March,2024,,,,Hungary
 490.00 Ft ,Grocery,March,2024,,,,Hungary
" 10,500.00 Ft ",Bar,March,2024,,,,Hungary
