Spending,Type of Expense,Month,in HUF,in CAD,in EURO,Country
" 9,120.00 Ft ",Restaurant,February,,,,Hungary
" 12,701.00 Ft ",Restaurant,February,,,,Hungary
" 1,530.00 Ft ",Restaurant,February,,,,Hungary
" 2,680.00 Ft ",Restaurant,February,,,,Hungary
" 5,036.00 Ft ",Bar,February,,,,Hungary
" 9,990.00 Ft ",Restaurant,February,,,,Hungary
" 2,000.00 Ft ",Telephone,February,,,,Hungary
" 2,158.00 Ft ",Grocery,February,,,,Hungary
" 1,449.00 Ft ",Grocery,February,,,,Hungary
" 2,697.00 Ft ",Grocery,February,,,,Hungary
" 3,450.00 Ft ",Grocery,February,,,,Hungary
" 4,347.00 Ft ",Restaurant,February,,,,Hungary
 490.00 Ft ,Grocery,February,,,,Hungary
" 15,108.00 Ft ",Restaurant,February,,,,Hungary
€ 7.80,Restaurant,February,,,,Slovakia
€ 1.09,Grocery,February,,,,Slovakia
€ 6.00,Restaurant,February,,,,Slovakia
€ 6.00,Restaurant,February,,,,Slovakia
€ 12.30,Restaurant,February,,,,Slovakia
€ 5.90,Bar,February,,,,Slovakia
" 2,300.00 Ft ",Grocery,February,,,,Hungary
 550.00 Ft ,Grocery,February,,,,Hungary
" 5,229.00 Ft ",Grocery,February,,,,Hungary
" 1,438.00 Ft ",Grocery,February,,,,Hungary
" 2,974.00 Ft ",Grocery,February,,,,Hungary
" 3,035.00 Ft ",Grocery,February,,,,Hungary
" 4,600.00 Ft ",Grocery,February,,,,Hungary
€ 12.35,Grocery,February,,,,Spain
€ 8.00,Transport,February,,,,Spain
€ 34.20,Transport,February,,,,Spain
€ 5.50,Grocery,February,,,,Spain
€ 25.80,Transport,February,,,,Spain
" 2,000.00 Ft ",Telephone,February,,,,Hungary
€ 8.90,Transport,February,,,,Spain
€ 28.00,Transport,February,,,,Spain
" 6,180.00 Ft ",Restaurant,February,,,,Hungary
" 5,600.00 Ft ",Grocery,February,,,,Hungary
" 25,989.00 Ft ",Grocery,February,,,,Hungary
" 1,498.00 Ft ",Grocery,February,,,,Hungary
 800.00 Ft ,Grocery,February,,,,Hungary
" 3,000.00 Ft ",Grocery,February,,,,Hungary
 120.00 Ft ,Transport,February,,,,Hungary
 450.00 Ft ,Transport,February,,,,Hungary
" 1,560.00 Ft ",Transport,February,,,,Hungary
" 17,854.00 Ft ",Restaurant,February,,,,Hungary
" 2,399.00 Ft ",Grocery,February,,,,Hungary
" 6,919.00 Ft ",Grocery,February,,,,Hungary
€ 12.80,Transport,March,,,,Austria
€ 30.80,Restaurant,March,,,,Austria
€ 54.00,Activity & Museums,March,,,,Austria
€ 4.50,Activity & Museums,March,,,,Austria
" 17,343.00 Ft ",Activity & Museums,March,,,,Austria
€ 60.00,Restaurant,March,,,,Austria
€ 3.99,Grocery,March,,,,Austria
" 53,095.00 Ft ",Activity & Museums,March,,,,Hungary
€ 17.30,Transport,March,,,,Austria
" 7,436.00 Ft ",Restaurant,March,,,,Hungary
" 4,400.00 Ft ",Transport,March,,,,Hungary
" 2,080.00 Ft ",Grocery,March,,,,Hungary
" 2,416.00 Ft ",Grocery,March,,,,Hungary
" 13,588.00 Ft ",Grocery,March,,,,Hungary
" 2,920.00 Ft ",Transport,March,,,,Hungary
" 1,000.00 Ft ",Transport,March,,,,Hungary
" 4,948.00 Ft ",Grocery,March,,,,Hungary
" 3,490.00 Ft ",Restaurant,March,,,,Hungary
" 1,200.00 Ft ",Restaurant,March,,,,Hungary
 945.00 Ft ,Transport,March,,,,Hungary
" 10,567.00 Ft ",Grocery,March,,,,Hungary
 349.00 Ft ,Grocery,March,,,,Hungary
" 2,437.00 Ft ",Grocery,March,,,,Hungary
" 10,000.00 Ft ",Activity & Museums,March,,,,Hungary
" 5,900.00 Ft ",Activity & Museums,March,,,,Hungary
" 2,699.00 Ft ",Activity & Museums,March,,,,Hungary
" 2,200.00 Ft ",Transport,March,,,,Hungary
" 3,000.00 Ft ",Telephone,March,,,,Hungary
€ 49.80,Grocery,March,,,,Austria
€ 19.10,Grocery,March,,,,Austria
€ 15.00,Transport,March,,,,Austria
€ 12.10,Transport,March,,,,Austria
" 2,347.00 Ft ",Grocery,March,,,,Hungary
" 2,639.00 Ft ",Bar,March,,,,Hungary
" 4,148.00 Ft ",Grocery,March,,,,Hungary
" 3,790.00 Ft ",Restaurant,March,,,,Hungary
 800.00 Ft ,Bar,March,,,,Hungary
